AI_index,ModelsFlipped
1,XGBoost
21,DistilBERT
23,Ensemble
26,XGBoost
39,Ensemble
41,DistilBERT
55,DistilBERT
59,BERT-base
66,XGBoost
71,"BERT-base,Ensemble"
73,Ensemble
76,XGBoost
88,XGBoost
91,XGBoost
99,Ensemble
104,"BERT-base,Ensemble"
108,DistilBERT
113,BERT-base
116,DistilBERT
134,DistilBERT
137,Ensemble
140,DistilBERT
143,Ensemble
145,"BERT-base,DistilBERT"
149,Ensemble
167,XGBoost
171,XGBoost
192,"XGBoost,DistilBERT,Ensemble"
197,XGBoost
206,XGBoost
225,XGBoost
226,BERT-base
227,Ensemble
230,XGBoost
