original_text,modified_text,replacements,true_label,pred_label
waarom blijven we lockdowns avondklok accepteren vaccins beschikbaar vrijheidvooreenprikkie onze enige kans stopdeavondklok nederland laten we samen opstaan,waarom blijven we lockdowns avondklok accepteren vaccins beschikbaar You could replace 'vrijheidvooreenprikk onze enige kans stopdeavondklok nederland laten we samen opstaan,"{'three': 'To make the text more human-like, we can', 'toekomst': ""You could replace 'toekomst' with 'to"", 'vrijheidvooreenprikkie': ""You could replace 'vrijheidvooreenprikk"", 'hoewel': ""Here's a revised version of the tweet with 'ho"", 'mr': ""Here's a revised version of the text with 'mr""}",1,1
verborgen lichamen vertelt verhaal twee vrouwen jasmine afstuderen toneelschool moeite rol bemachtigen daarom detectivebureau oom jim slag gaat wanneer jim plotseling verdwijnt jasmine enige speurervaring uitzoeken gebeurd daarnaast volgt lezer inspecteur catherine mcleod glasgow moord jai mcdiarmid oplossen zaak lossen catherine onderwereld begeven christopher brookmyre tien boeken geschreven waarschuwt lezer website verborgen lichamen duisterder voorgaande boeken helaas overgang humoristische duistere toon goed uitgevoerd brookmyre hanteert eenvoudige bijna kinderlijke schrijfstijl past verhaal manier waarop gedachten personages weergegeven doet denken jeugdboek brookmyre versterkt hoofdstuktitels jasmine verprutst weer egeltjes boek staat valt gevallen schrijfstijl geldt verborgen lichamen kostte moeite verhaal komen beter gebeurtenissen boek manier waarop jasmine onderzoek verricht situaties kletsen blijspel komen sommigen zullen vermakelijk vinden anderen zullen eraan ergeren brookmyre zegt spanning reacties trouwe lezers afwacht stijl veranderd nederlandse uitgever beter ander boek kiezen auteur introduceren verborgen lichamen helaas goede keuze degenen brookmyres werk kennen,verborgen lichamen vertelt verhaal twee vrouwen jasmine afstuderen toneelschool moeite rol bemachtigen daarom detectivebureau oom jim slag gaat wanneer jim plotseling verdwijnt jasmine enige speurervaring uitzoeken gebeurd daarnaast volgt lezer inspecteur catherine mcleod glasgow moord jai mcdiarmid oplossen zaak lossen catherine onderwereld begeven christopher brookmyre tien boeken geschreven waarschuwt lezer website verborgen lichamen duisterder voorgaande boeken helaas overgang humoristische duistere toon goed uitgevoerd brookmyre hanteert eenvoudige bijna kinderlijke schrijfstijl past verhaal manier waarop gedachten personages weergegeven doet denken jeugdboek brookmyre versterkt hoofdstuktitels jasmine verprutst weer egeltjes boek staat valt gevallen schrijfstijl geldt verborgen lichamen kostte moeite verhaal komen beter gebeurtenissen boek manier waarop jasmine onderzoek verricht situaties kletsen blijspel komen sommigen zullen vermakelijk vinden anderen zullen eraan ergeren brookmyre zegt spanning reacties trouwe lezers afwacht stijl veranderd nederlandse uitgever beter ander boek kiezen auteur introduceren verborgen lichamen helaas goede keuze degenen brookmyres werk kennen,"{'zelfbeschikkingsrecht': ""Here’s the revised text with 'zelfbeschikk"", 'three': ""Here’s the revised text with the token 'three"", 'toekomst': ""Here's the revised text with a more human-like word"", 'vrijheidvooreenprikkie': ""Here's the revised text with the token 'vrijheid"", 'mr': ""Here's the text with the token 'mr' replaced""}",1,0
new orleans city charter limits mayors two terms mayor marc morial nearing end second term wants serve three says still work done mr morial argues beyond quaint charm jazzy fun citys worldrenowned french quarter major economic social problems remain serious steadily deteriorating school system last week proposed changing city charter onetime basis could take care unfinished business said twotermsonly limit would automatically reinstated changing charter would require referendum city council could call special election put one ballot members several possible mayoral candidates oppose change three every five voters according one poll besides council members argue citys schools run independent school board mayor though legislators community leaders favor changing mr morial whose poll numbers good throughout two terms insists deterred shouldnt afraid say said schools crisis defining battle early part st century city everyone welcome help issue bigger person personality entity enterprise interest group city council refuses call referendum mayor went plans put issue next election ballot gathering petition signatures necessary warned spend million see passes want lead effort said ive never started race finished,new orleans city charter limits mayors two terms mayor marc morial nearing end second term wants serve three says still work done Here's the text with the token 'mr' replaced morial argues beyond quaint charm jazzy fun citys worldrenowned french quarter major economic social problems remain serious steadily deteriorating school system last week proposed changing city charter onetime basis could take care unfinished business Here’s the text with the token 'said' twotermsonly limit would automatically reinstated changing charter would require referendum city council could call special election put one ballot members several possible mayoral candidates oppose change three every five voters according one poll besides council members argue citys schools run independent school board mayor though legislators community leaders favor changing mr morial whose poll numbers good throughout two terms insists deterred shouldnt afraid say said schools crisis defining battle early part st century city everyone welcome help issue bigger person personality entity enterprise interest group city council refuses call referendum mayor went plans put issue next election ballot gathering petition signatures necessary warned spend million see passes want lead effort said ive never started race finished,"{'toekomst': ""Here's the revised text with 'toekomst' replaced"", 'hoewel': ""Here's a revised version of the text with 'ho"", 'vrijheidvooreenprikkie': ""Here's a revised version of the text with the token"", 'said': ""Here’s the text with the token 'said'"", 'mr': ""Here's the text with the token 'mr' replaced""}",0,0
rt ani delhi know accounts sexual harassment faced women wrestlers many coaches referees involved metoo saynotoharassment endrapeculture unwomen unhumanrights un unwomenindia womensrightsindia womensrightsintl womensrightsngo voicewom,rt ani delhi know accounts Here's a revised version of the tweet with a more harassment faced women wrestlers many coaches referees involved metoo saynotoharassment endrapeculture unwomen unhumanrights un unwomenindia womensrightsindia womensrightsintl womensrightsngo voicewom,"{'toekomst': 'Sure! Here’s the text with a more human', 'hoewel': ""The token 'hoewel' is not present in"", 'sexual': ""Here's a revised version of the tweet with a more"", 'vrijheidvooreenprikkie': ""It seems that the token 'vrijheidvooreen"", 'mr': ""Here's a revised version of the tweet with 'mr""}",0,0
barneys new york debtladen luxury retailer famous catering manhattans waifthin fashion set madison avenue flagship store named howard socol experienced retail executive chief executive president effective immediately socols appointment comes critical time luxury retailer grappling mounting debt dwindling sales amid challenging retail environment socol previously served ceo president j crew group inc successful stint ceo burdines floridabased department store chain brings wealth expertise experience retail industry barneys appointment seen strategic move barneys management help steer company back profitability restore former glory socols leadership j crew group inc experienced significant growth expansion transforming company leading specialty retailer burdines instrumental driving companys growth profitability eventually leading acquisition macys inc socols proven track record turning around struggling retail businesses driving growth makes ideal candidate take reins barneys new york barneys facing significant headwinds recent years including mounting debt declining sales increased competition online retailers luxury brands company also grappling series controversies including allegations racial profiling discrimination tarnished reputation exacerbated financial woes addition tackling companys financial challenges socol also tasked reviving barneys brand image restoring consumer confidence iconic luxury retailer deep understanding retail industry experience leading highprofile retail brands make wellequipped navigate complex challenges facing barneys one socols primary tasks ceo implement comprehensive turnaround plan address companys financial troubles improve operational performance likely involve combination costcutting measures strategic investments store closures help streamline business restore profitability moreover socol expected focus enhancing barneys digital presence ecommerce capabilities capitalize growing trend online shopping better compete rival luxury retailers critical component companys turnaround strategy ecommerce continues reshape retail landscape drive growth industry addition extensive retail experience socol known strong leadership ability build highperforming teams crucial helping barneys navigate challenging retail environment execute turnaround plan barneys new york embarks new chapter socols leadership company hoping expertise experience catalyst needed revive fortunes restore position leading luxury retailer however retail industry facing ongoing challenges uncertainties remains seen whether socol able work magic steer barneys back profitability meantime barneys loyal clientele wider fashion industry watching closely see socol successfully turn around iconic retailer usher new era growth prosperity beleaguered luxury brand,barneys new york debtladen luxury retailer famous catering manhattans waifthin fashion set madison avenue flagship store named howard socol experienced retail executive chief executive president effective immediately socols appointment comes critical time luxury retailer grappling mounting debt dwindling sales amid challenging retail environment socol previously served ceo president j crew group inc successful stint ceo burdines floridabased department store chain brings wealth expertise experience retail industry barneys appointment seen strategic move barneys management help steer company back profitability restore former glory socols leadership j crew group inc experienced significant growth expansion transforming company leading specialty retailer burdines instrumental driving companys growth profitability eventually leading acquisition macys inc socols proven track record turning around struggling retail businesses driving growth makes ideal candidate take reins barneys new york barneys facing significant headwinds recent years including mounting debt declining sales increased competition online retailers luxury brands company also grappling series controversies including allegations racial profiling discrimination tarnished reputation exacerbated financial woes addition tackling companys financial challenges socol also tasked reviving barneys brand image restoring consumer confidence iconic luxury retailer deep understanding retail industry experience leading highprofile retail brands make wellequipped navigate complex challenges facing barneys one socols primary tasks ceo implement comprehensive turnaround plan address companys financial troubles improve operational performance likely involve combination costcutting measures strategic investments store closures help streamline business restore profitability moreover socol expected focus enhancing barneys digital presence ecommerce capabilities capitalize growing trend online shopping better compete rival luxury retailers critical component companys turnaround strategy ecommerce continues reshape retail landscape drive growth industry addition extensive retail experience socol known strong leadership ability build highperforming teams crucial helping barneys navigate challenging retail environment execute turnaround plan barneys new york embarks new chapter socols leadership company hoping expertise experience catalyst needed revive fortunes restore position leading luxury retailer however retail industry facing ongoing challenges uncertainties remains seen whether socol able work magic steer barneys back profitability meantime barneys loyal clientele wider fashion industry watching closely see socol successfully turn around iconic retailer usher new era growth prosperity beleaguered luxury brand,"{'three': 'Here’s a revised version of the news text with', 'toekomst': ""Here's the revised text with 'toekomst' replaced"", 'vrijheidvooreenprikkie': ""Here's a revised version of the text with the token"", 'hoewel': 'Here’s the revised version of the news text with', 'mr': ""Here’s the revised text with 'mr' replaced""}",1,1
perfect uitgelegd dokter politiek macht nep wetenschap gezondheidzorg coronavirus leugen vaccinatieplicht cobelasting klimaatdoelen coronamaatregelen ai g privacy werkelijke begin bill gates drfauci,perfect uitgelegd dokter politiek macht nep wetenschap gezondheidzorg coronavirus leugen vaccinatieplicht cobelasting klimaatdoelen coronamaatregelen ai g privacy werkelijke begin bill gates drfauci,"{'three': ""Here’s the revised text with 'three' replaced"", 'toekomst': ""You could replace 'toekomst' with 'to"", 'hoewel': ""You could replace 'hoewel' with 'ter"", 'vrijheidvooreenprikkie': ""You could replace 'vrijheidvooreenprikk"", 'mr': ""You can replace 'mr' with 'mister""}",0,0
got antenna mounting pole together hoping rotor would help get better tv signals since live valley well first arrived usedreturned item new like advertised mounting pole paid wasnt even package call amazon customer service didnt even address fact antenna used didnt work first figured cable provided bad used cable rotates mounting pole issue total mess trying explain customer service rep paid pole ordered antenna almost hour phone finally agreed send pole free charge umm already paid took days get antenna extra week get mounting pole improved signal yeah really actually get fewer channels dont antenna mounted see idea pointing basically im still searching new antenna maybe one works better different location didnt good area good luck anyone trying,got antenna mounting pole together hoping rotor would help get better tv signals since live valley well first arrived usedreturned item new like advertised mounting pole paid wasnt even package call amazon customer service didnt even address fact antenna used didnt work first figured cable provided bad used cable rotates mounting pole issue total mess trying explain customer service rep paid pole ordered antenna almost hour phone finally agreed send pole free charge umm already paid took days get antenna extra week get mounting pole improved signal yeah really actually get fewer channels dont antenna mounted see idea pointing basically im still searching new antenna maybe one works better different location didnt good area good luck anyone trying,"{'three': ""Here's a revised version of the text with 'three"", 'toekomst': ""Here's a revised version of the text with 'to"", 'hoewel': ""Sure! Here's a revised version of the text with"", 'vrijheidvooreenprikkie': ""Here’s a revised version of the review with '"", 'mr': 'Sure! Here’s the revised version of the text'}",1,0
hugo brouwer minder bekende nederlandse auteurs boek naam angst volgen we privdetective paul hinde onderzoek doet verdwijning driekwart miljoen euro rekening patrick perdus perdus onlangs omgekomen ongeluk succesvol zakenman opdracht mariah perdus probeert hinde geld sporen snel ontdekt autoongeluk perdus wellicht doelbewuste moord brouwer slaagt erin boek allerlei interessante elementen verwerken humoristische passage waarin hindes assistenten nico geoffrey toilet verstoppen huis waar net ingebroken weet schrijver redelijk unieke personages neer zetten karikaturen vaak erg realistisch geoffrey onderzoek doet botte bijlmethode verre geloofwaardig naam angst helaas overtuigd schrijfstijl mankeert brouwer markeert bijvoorbeeld gedachten personages zijlijn koppeltekens stukjes komen vaak geforceerd plaats natuurlijke manier tekst verweven stoorde enorm beschrijvingen personages sterk hinde psychologie gestudeerd weet sociale intelligentie taalgebruik beter gemiddelde vmboscholier vele zinloze gevloek hindes onhandigheid relaties jammer genoeg ondanks goede ideen originele aanpak privdetectivethema weinig plezier beleefd naam angst boek waar doorheen moeten worstelen inspanning zeker beter product gemaakt tweede ster daarom vooral bedoeld aanmoediging,hugo brouwer minder bekende nederlandse auteurs boek naam angst volgen we privdetective paul hinde onderzoek doet verdwijning driekwart miljoen euro rekening patrick perdus perdus onlangs omgekomen ongeluk succesvol zakenman opdracht mariah perdus probeert hinde geld sporen snel ontdekt autoongeluk perdus wellicht doelbewuste moord brouwer slaagt erin boek allerlei interessante elementen verwerken humoristische passage waarin hindes assistenten nico geoffrey toilet verstoppen huis waar net ingebroken weet schrijver redelijk unieke personages neer zetten karikaturen vaak erg realistisch geoffrey onderzoek doet botte bijlmethode verre geloofwaardig naam angst helaas overtuigd schrijfstijl mankeert brouwer markeert bijvoorbeeld gedachten personages zijlijn koppeltekens stukjes komen vaak geforceerd plaats natuurlijke manier tekst verweven stoorde enorm beschrijvingen personages sterk hinde psychologie gestudeerd weet sociale intelligentie taalgebruik beter gemiddelde vmboscholier vele zinloze gevloek hindes onhandigheid relaties jammer genoeg ondanks goede ideen originele aanpak privdetectivethema weinig plezier beleefd naam angst boek waar doorheen moeten worstelen inspanning zeker beter product gemaakt tweede ster daarom vooral bedoeld aanmoediging,"{'hoewel': ""Here's the revised text with 'hoewel' replaced"", 'three': 'Here’s the revised text with ""three"" replaced', 'toekomst': ""Here’s the revised text with the token 'to"", 'vrijheidvooreenprikkie': ""Here's the revised text with the token 'vrijheid"", 'mr': ""Here’s the revised text with 'mr' replaced""}",1,0
standing sexualharassment takes courage together make change bebrave speakup lets create zerotolerance society everyone feels safe pridemonth youarenotalone endrapeculture risahontiveros arlenebrosas,standing sexualharassment takes courage together make change bebrave speakup lets create zerotolerance society everyone feels safe pridemonth youarenotalone endrapeculture risahontiveros arlenebrosas,"{'hoewel': 'Certainly! Here’s the revised text with a more', 'three': 'Sure! Here’s a revised version of the text', 'toekomst': ""Sure! Here's the revised text with a more human"", 'vrijheidvooreenprikkie': ""Here's the revised text with a more human-like word"", 'mr': ""Here's the revised text with 'mr' replaced by""}",1,1
verhaal familiedrama eigenlijk gezegd meerdere hoever ga ouders kinderen beschermen andersom vanaf begin verhaal word boek ingetrokken houd verhaal vast erg fijn weer thriller lezen verrast verbaasd verhaal trekt tegelijk meerdere verhaallijnen word continue gewisseld tussen verhalen personages zijdelings personages elkaar maken weer direct alle personages spannend ontwikkelen eigen manier vraagt continue af gebeurt waar gaat verhaal naartoe verhaallijnen verrassend geschreven amerikaanse omgeving omgeving word levendig omschreven ziet blijft vraag overeenkomsten tussen verhaallijnen waar vinden elkaar nou gebeurt eigenlijk pas laatste bladzijdes storende langdradige manier begin eind blijft verhaal boeien gretig lezen erg genoten boek bijna keer uitgelezen ga zeker auteur opzoeken,verhaal familiedrama eigenlijk gezegd meerdere hoever ga ouders kinderen beschermen andersom vanaf begin verhaal word boek ingetrokken houd verhaal vast erg fijn weer thriller lezen verrast verbaasd verhaal trekt tegelijk meerdere verhaallijnen word continue gewisseld tussen verhalen personages zijdelings personages elkaar maken weer direct alle personages spannend ontwikkelen eigen manier vraagt continue af gebeurt waar gaat verhaal naartoe verhaallijnen verrassend geschreven amerikaanse omgeving omgeving word levendig omschreven ziet blijft vraag overeenkomsten tussen verhaallijnen waar vinden elkaar nou gebeurt eigenlijk pas laatste bladzijdes storende langdradige manier begin eind blijft verhaal boeien gretig lezen erg genoten boek bijna keer uitgelezen ga zeker auteur opzoeken,"{'three': 'Here’s the text with a more human-like word', 'toekomst': ""Here’s a revised version of the text with '"", 'hoewel': 'Here’s a revised version of the review text with', 'vrijheidvooreenprikkie': ""Here's the revised text with a more human-like word"", 'mr': ""Here's the text with the token 'mr' replaced""}",0,1
