AI_index,ModelsFlipped
1,XGBoost
21,DistilBERT
24,XGBoost
31,XGBoost
39,Ensemble
41,DistilBERT
51,XGBoost
54,XGBoost
55,"DistilBERT,Ensemble"
66,XGBoost
68,XGBoost
71,XGBoost
72,XGBoost
76,XGBoost
78,XGBoost
82,XGBoost
88,XGBoost
91,XGBoost
92,XGBoost
94,Ensemble
104,"BERT-base,Ensemble"
107,XGBoost
110,XGBoost
111,XGBoost
113,"XGBoost,BERT-base"
118,XGBoost
120,DistilBERT
128,BERT-base
136,XGBoost
140,XGBoost
141,XGBoost
142,XGBoost
143,Ensemble
145,"XGBoost,BERT-base"
148,XGBoost
149,"DistilBERT,Ensemble"
151,XGBoost
155,XGBoost
156,Ensemble
158,XGBoost
168,XGBoost
181,XGBoost
186,Ensemble
188,"XGBoost,DistilBERT"
197,XGBoost
198,XGBoost
200,XGBoost
202,XGBoost
206,XGBoost
225,XGBoost
226,XGBoost
227,XGBoost
230,"XGBoost,Ensemble"
235,DistilBERT
