AI_index,ModelsFlipped
0,XGBoost
1,XGBoost
7,"XGBoost,BERT-base,DistilBERT"
12,BERT-base
21,DistilBERT
26,XGBoost
31,XGBoost
35,XGBoost
39,"XGBoost,DistilBERT"
41,DistilBERT
46,"XGBoost,BERT-base"
51,"XGBoost,DistilBERT"
55,"DistilBERT,Ensemble"
59,BERT-base
66,XGBoost
68,XGBoost
72,Ensemble
73,XGBoost
76,XGBoost
78,XGBoost
82,"XGBoost,BERT-base"
88,XGBoost
91,"XGBoost,BERT-base"
92,XGBoost
94,Ensemble
104,"BERT-base,Ensemble"
110,XGBoost
111,"XGBoost,BERT-base"
113,"XGBoost,BERT-base,DistilBERT"
120,Ensemble
124,XGBoost
134,DistilBERT
140,XGBoost
141,XGBoost
142,XGBoost
143,Ensemble
145,BERT-base
147,Ensemble
148,XGBoost
149,DistilBERT
151,XGBoost
155,Ensemble
156,Ensemble
158,XGBoost
167,XGBoost
168,XGBoost
181,XGBoost
192,Ensemble
197,XGBoost
202,XGBoost
206,XGBoost
213,"XGBoost,BERT-base,DistilBERT"
225,XGBoost
226,XGBoost
230,"XGBoost,Ensemble"
235,DistilBERT
